,幣別,即期買入,即期賣出,現鈔買入,現鈔賣出,銀行
18,菲律賓幣 (PHP),0.5568,0.6008,0,0,中國信託銀行
19,印度盧比 (INR),0.348,0.41100000000000003,0,0,中國信託銀行
0,美金(USD),27.575,27.675,27.3550,27.8950,日盛銀行
1,歐元(EUR),33.44,33.84,33.1600,34.1200,日盛銀行
2,港幣(HKD),3.53,3.59,3.4900,3.6300,日盛銀行
3,英鎊(GBP),38.935,39.335,0,0,日盛銀行
4,日圓(JPY),0.2499,0.2549,0.2474,0.2574,日盛銀行
5,澳幣(AUD),21.322,21.582,0,0,日盛銀行
6,加拿大幣(CAD),22.753,22.953,0,0,日盛銀行
7,新加坡幣(SGD),20.793,20.993,0,0,日盛銀行
8,瑞士法郎(CHF),30.781,30.981,0,0,日盛銀行
9,紐西蘭幣(NZD),19.678,20.118,0,0,日盛銀行
10,瑞典幣(SEK),3.289,3.409,0,0,日盛銀行
11,南非幣(ZAR),1.99,2.09,0,0,日盛銀行
12,人民幣(CNY),4.297,4.357,4.2270,4.4140,日盛銀行
